"Developmental Stage (PRE=Preflexion,FLE=Flexion,POS=Postflexion)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Scaridae,,,Scorpaenidae,,,Synodontidae,,,Labridae,,,Serranidae,,,Mullidae,,,Pomacentridae,,,Trachurus,,,Platycephalidae,,,Triglidae,,,Bothidae,,,,
1,75,3,Formalin,Yes,Returned,0,1,1,0,1,0,1,1,0,1,5,2,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,21,
2,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2,0,1,Formalin,Yes,Yes,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,
2,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,
2,0,2,Formalin,Yes,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
2,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,25,5,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,1,0,4,5,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,19,
2,25,5,Formalin,Yes,Yes,0,0,0,1,1,0,0,0,0,13,4,0,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Scarid missing tail
2,75,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,75,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
2,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,1,Ethanol,Yes,Returned,0,3,3,0,0,0,1,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,13,Extra scard. Bothid
3,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,0,2,Ethanol,Yes,Returned,0,1,2,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Found an extra scarid
3,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,25,5,Ethanol,Yes,Returned,0,0,1,0,0,0,0,0,0,4,5,4,4,8,1,0,0,1,3,9,2,0,0,0,2,0,0,0,0,0,8,2,1,44,
3,25,5,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,75,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,75,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,3,0,1,11,
3,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,3,1,4,3,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,
4,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,0,2,Ethanol,Yes,Returned,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,1,6,0,4,5,0,0,0,0,0,0,0,1,1,0,2,0,0,24,
4,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,25,5,Ethanol,Yes,Returned,0,2,0,0,0,0,1,0,0,3,5,2,1,5,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,3,2,0,28,
4,25,5,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,75,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,75,3,Ethanol,Yes,Returned,0,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,
4,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,
5,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,
5,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,0,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,
5,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,25,4,Formalin,Yes,Returned,0,3,1,0,2,4,2,1,1,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,
5,25,5,Ethanol,Yes,Returned,0,1,0,0,1,1,1,3,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,13,
5,25,5,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,75,2,Formalin,Yes,Returned,1,3,0,0,0,2,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
5,75,3,Ethanol,Yes,Returned,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,
5,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
6,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
6,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,3,Ethanol,Yes,Returned,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
6,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,25,5,Ethanol,Yes,Returned,0,0,0,0,1,1,0,5,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,21,
6,25,5,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,75,2,Formalin,Yes,Returned,0,0,2,0,1,0,0,3,0,0,4,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
6,75,3,Ethanol,Yes,Returned,0,1,2,0,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12,
6,75,3,Formalin,Yes,Returned,1,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
7,0,1,Ethanol,Yes,Returned,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,
7,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,
7,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,0,3,Ethanol,Yes,Returned,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,
7,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,25,4,Formalin,Yes,Returned,0,1,1,0,0,1,0,3,1,2,9,14,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,
7,25,5,Ethanol,Yes,Returned,0,1,3,0,0,0,0,0,0,0,5,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,21,
7,25,5,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,75,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,75,3,Ethanol,Yes,Returned,0,3,1,0,0,3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,
7,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,1,Ethanol,Yes,Returned,0,0,1,0,3,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
8,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,2,Ethanol,Yes,Returned,0,0,0,0,2,2,1,0,1,0,3,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,20,
8,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,0,3,Ethanol,Yes,Returned,0,4,2,5,4,0,1,1,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,31,
8,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,25,4,Formalin,Yes,Returned,0,4,3,3,7,6,1,4,1,2,14,28,0,0,2,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,84,1 scorpion had arrow worm
8,25,5,Ethanol,Yes,Returned,0,0,0,0,1,4,1,1,2,0,10,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
8,25,5,Formalin,Yes,Returned,1,9,4,0,3,0,0,1,0,5,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,
8,75,2,Formalin,Yes,Returned,0,3,4,0,3,5,1,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,
8,75,3,Ethanol,Yes,Returned,0,1,2,0,0,6,1,1,0,0,9,27,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,50,
8,75,3,Formalin,Yes,Returned,0,1,0,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1 labrid had arrow worm on him
9,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,1,13,53,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,
9,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,21,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,
9,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,0,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,17,
9,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,25,5,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,
9,25,5,Formalin,Yes,Yes,0,0,0,0,0,0,0,0,0,10,7,0,4,0,0,8,0,0,6,2,0,0,0,0,0,0,0,4,1,0,0,0,0,42,
9,75,2,Formalin,Yes,Yes,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,
9,75,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,
9,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,17,
10,0,1,Formalin,Yes,Yes,0,0,0,1,0,0,0,0,0,2,0,1,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,
10,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,2,0,0,2,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,
10,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,0,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,
10,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,25,5,Ethanol,Yes,Yes,0,0,0,0,1,0,1,0,0,0,4,2,6,6,0,2,3,0,2,2,1,7,1,0,1,1,0,3,4,0,0,1,1,47,
10,25,5,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,75,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,75,3,Ethanol,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,8,
10,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,7,
11,0,1,Formalin,Yes,Yes,0,0,0,0,0,0,0,0,0,2,2,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,15,
11,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
11,0,2,Formalin,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,
11,0,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,
11,0,3,Formalin,No,Yes,0,0,0,1,0,0,0,0,0,10,3,0,13,0,0,5,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,
11,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,25,5,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,2,10,1,4,1,0,2,0,0,1,1,0,0,0,0,0,0,0,2,5,0,1,0,1,29,
11,25,5,Formalin,Yes,Yes,0,0,0,3,1,0,0,0,0,13,7,1,32,1,0,15,1,0,3,2,0,0,0,0,0,0,0,18,5,0,0,0,0,102,
11,75,2,Formalin,Yes,Yes,0,0,0,0,0,0,0,0,0,0,2,3,4,3,0,0,5,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,35,
11,75,3,Ethanol,Yes,Returned,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,
11,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,1,Ethanol,Yes,Yes,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,13,
12,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,2,Ethanol,Yes,Yes,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,
12,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,3,Ethanol,Yes,Yes,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
12,0,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,25,4,Formalin,Yes,Yes,0,0,0,1,0,0,0,0,0,8,3,1,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33,1 Triglid had arrow worm concealing the tail
12,25,5,Ethanol,Yes,Returned,0,2,0,0,0,0,1,1,0,0,4,3,3,0,0,0,4,0,0,0,0,0,0,0,1,3,0,3,1,0,0,0,2,26,
12,25,5,Formalin,Yes,Yes,0,1,0,0,0,0,3,0,0,5,4,0,37,0,0,3,2,0,4,5,0,0,0,0,0,0,0,6,4,0,0,0,0,74,
12,75,2,Formalin,Yes,Yes,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,
12,75,3,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,1,0,3,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,15,
12,75,3,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
13,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
13,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,25,4,Formalin,Yes,Yes,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,
13,25,5,Ethanol,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,25,5,Formalin,Yes,Yes,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,
13,75,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,75,3,Ethanol,Yes,Returned,0,0,1,0,0,0,0,0,1,0,0,4,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,
13,75,3,Formalin,Yes,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
14,0,1,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
14,0,1,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,2,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
14,0,2,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,25,4,Formalin,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,25,5,Ethanol,Yes,Returned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,
